Command	InputType	Args	OutputType	NonstandardJsonDef	NonstandardInput	NonstandardOutput
add-to-spec-file	Spec	"Structure,File"	n/a	0	0	0
annotation-resample	Annot	n/a	Annot	0	0	0
border-export-color-table	Border	n/a	Text	0	0	0
border-file-export-to-caret5	Border	n/a	Caret5	0	1	0
border-length	Border	Surf	n/a	0	0	0
border-merge	n/a	n/a	Border	0	1	0
border-resample	Border	"CurrentSphere,NewSphere"	Border	1	0	0
border-to-rois	Surface	Border	Metric	0	0	0
border-to-vertices	Surface	Border	Metric	0	0	0
cifti-all-labels-to-rois	Cifti	Map	Cifti	0	0	0
cifti-average	n/a	n/a	Cifti	0	1	0
cifti-average-dense-roi	n/a	n/a	Cifti	0	1	0
cifti-average-roi-correlation	n/a	n/a	Cifti	0	1	0
cifti-change-mapping	Cifti	Direction	Cifti	0	0	0
cifti-convert	n/a	n/a	Cifti	0	1	0
cifti-correlation	Cifti	n/a	Cifti	0	0	0
cifti-correlation-gradient	Cifti	n/a	Cifti	0	0	0
cifti-create-dense-from-template	Cifti	n/a	Cifti	0	1	0
cifti-create-dense-scalar	n/a	n/a	Cifti	1	1	0
cifti-create-dense-timeseries	n/a	n/a	Cifti	1	1	0
cifti-create-label	n/a	n/a	Cifti	1	1	0
cifti-create-parcellated-from-template	Cifti	Direction	Cifti	0	1	0
cifti-create-scalar-series	Text	n/a	Cifti	1	0	0
cifti-cross-correlation	Cifti	Cifti	Cifti	0	1	0
cifti-dilate	Cifti	"Direction,SurfDistance,VolDistance"	Cifti	0	0	0
cifti-erode	Cifti	Cifti	Cifti	0	0	0
cifti-estimate-fwhm	Cifti	n/a	Disp	0	0	0
cifti-export-dense-mapping	Cifti	Direction	Text	0	0	0
cifti-extrema	Cifti	"SurfDistance,VolDistance,Direction"	Cifti	0	0	0
cifti-false-correlation	Cifti	"3dDist,GeoOuter,GeoInner"	Cifti	0	0	0
cifti-find-clusters	Cifti	"SurfValThresh,SurfMinArea,VolValThresh,VolMinSize,Direction"	Cifti	0	0	0
cifti-gradient	Cifti	Direction	Cifti	0	0	0
cifti-label-adjacency	Cifti	n/a	Cifti	0	0	0
cifti-label-export-table	Cifti	Map	Text	0	0	0
cifti-label-import 	Cifti	LabelListFile	Cifti	0	0	0
cifti-label-modify-keys	Cifti	RemapFile	Cifti	0	0	0
cifti-label-probability	Cifti	n/a	Cifti	0	0	0
cifti-label-to-border	Cifti	n/a	n/a	0	0	1
cifti-label-to-roi	Cifti	n/a	Cifti	0	0	0
cifti-math	n/a	Expression	Cifti	0	1	0
cifti-merge	n/a	n/a	Cifti	0	1	0
cifti-merge-dense	n/a	Direction	Cifti	0	1	0
cifti-merge-parcels	n/a	Direction	Cifti	0	1	0
cifti-pairwise-correlation	Cifti	Cifti	Cifti	0	0	0
cifti-palette	Cifti	Mode	Cifti	0	0	0
cifti-parcel-mapping-to-label	Cifti	"Direction,TemplateCifti"	Cifti	0	1	0
cifti-parcellate	Cifti	"CiftiLabel, Direction"	Cifti	0	1	0
cifti-reduce	Cifti	Operation	Cifti	0	0	0
cifti-reorder	Cifti	"Direction,ReorderFile"	Cifti	0	0	0
cifti-replace-structure	Cifti	Direction	n/a	0	0	0
cifti-resample	Cifti	"Direction,CiftiTemplate,TemplateDirection,SurfMethod,VolMethod"	Cifti	1	1	0
cifti-resample-dconn-memory	Cifti	"Direction,CiftiTemplate,TemplateDirection,SurfMethod,VolMethod"	Cifti	1	1	0
cifti-restrict-dense-map	Cifti	Direction	Cifti	0	0	0
cifti-roi-average	Cifti	n/a	Text	0	0	0
cifti-rois-from-extrema	Cifti	"SurfLimit,VolLimit,Direction"	Cifti	0	0	0
cifti-separate	Cifti	Direction	n/a	1	0	1
cifti-smoothing	Cifti	"SurfKernel,VolKernel,Direction"	Cifti	0	0	0
cifti-stats	Cifti	n/a	Disp	0	0	0
cifti-transpose	Cifti	n/a	Cifti	0	0	0
cifti-vector-operation	Cifti	"CiftiB,Operation"	Cifti	0	1	0
cifti-weighted-stats	Cifti	n/a	Disp	0	0	0
convert-affine	n/a	n/a	n/a	1	1	1
convert-fiber-orientations	Volume	n/a	Fiber	0	0	0
convert-matrix4-to-matrix2	Matrix4	n/a	Cifti	0	0	0
convert-matrix4-to-workbench-sparse	Matrix4	"Matrix4_2-3,OrientationFile,VoxelList"	Wbsparse	0	0	0
convert-warpfield	n/a	n/a	n/a	1	1	1
create-signed-distance-volume	Surface	RefVolume	Volume	0	1	0
estimate-fiber-binghams	Fiber	"8xFiberSamples,LabelVolume"	Cifti	1	1	0
fiber-dot-products	Surf	"Fiber,MaxDist,Direction,Metric"	Metric	0	0	1
file-convert	n/a	n/a	n/a	0	1	1
file-information	File	n/a	Disp	0	0	0
foci-create	n/a	n/a	Foci	0	0	0
foci-get-projection-vertex	Foci	Surface	Metric	0	1	0
foci-list-coords	Foci	n/a	Text	0	0	0
foci-resample	Foci	n/a	Foci	0	0	0
gifti-all-labels-to-rois	Label	Map	Metric	0	0	0
gifti-convert	Text	Gifti	Gifti	0	1	0
gifti-label-add-prefix	Label	Prefix	Label	0	0	0
gifti-label-to-roi	Label	n/a	Metric	0	0	0
label-dilate	Label	"Surface,DilateDist"	Label	0	0	0
label-erode	Label	"Surface,ErodeDist"	Label	0	0	0
label-export-table	Label	n/a	Text	0	0	0
label-mask	Label	Metric	Label	0	0	0
label-merge	n/a	n/a	Label	0	1	0
label-modify-keys	Label	RemapFile	Label	0	0	0
label-probability	Label	n/a	Metric	0	0	0
label-resample	Label	"CurSphere,NewSphere,Method"	Label	1	0	0
label-to-border	Surface	Label	Border	0	1	0
label-to-volume-mapping	Label	"Surface,VolumeSpace"	Label	1	0	0
metadata-remove-provenance	File	n/a	File	0	0	0
metadata-string-replace	File	"FindStr,ReplaceStr"	File	0	0	0
metric-convert	n/a	n/a	n/a	0	1	1
metric-dilate	Metric	"Surface,Distance"	Metric	0	0	0
metric-erode	Metric	"Surface,Distance"	Metric	0	0	0
metric-estimate-fwhm	Surface	Metric	Disp	0	0	0
metric-extrema	Surface	"Metric,Distance"	Metric	0	1	0
metric-false-correlation	Surface	"Metric,Distance,GeoOuter,GeoInner"	Metric	0	1	0
metric-fill-holes	Surface	Metric	Metric	0	1	0
metric-find-clusters	Surface	"Metric,ValueThresh,MinArea"	Metric	0	1	0
metric-gradient	Surface	Metric	Metric	0	1	0
metric-label-import	Metric	LabelListFile	Label	0	0	0
metric-mask	Metric	MaskMetric	Metric	0	0	0
metric-math	n/a	Expression	Metric	0	1	0
metric-merge	n/a	n/a	Metric	0	1	0
metric-palette	Metric	Mode	n/a	0	0	0
metric-reduce	Metric	Operation	Metric	0	0	0
metric-regression	Metric	n/a	Metric	0	0	0
metric-remove-islands	Surface	Metric	Metric	0	1	0
metric-resample	Metric	"CurrentSphere,NewSphere,Method"	Metric	1	0	0
metric-rois-from-extrema	Surface	"Metric,Limit"	Metric	0	1	0
metric-rois-to-border	Surface	"Metric,ClassName"	Border	0	1	0
metric-smoothing	Surface	"Metric,SmoothKernel"	Metric	0	1	0
metric-stats	Metric	n/a	Disp	0	0	0
metric-tfce	Surface	Metric	Metric	0	1	0
metric-to-volume-mapping	Metric	"Surface,VolumeSpace"	Volume	1	0	0
metric-vector-operation	Metric	"MetricB,Operation"	Metric	0	1	0
metric-vector-toward-roi	Surface	TargetROI	Metric	0	0	0
metric-weighted-stats	Metric	n/a	Disp	0	0	0
nifti-information	File	n/a	Disp	0	0	0
probtrackx-dot-convert	Dot	n/a	Cifti	0	0	0
scene-file-merge	n/a	n/a	Scene	0	1	0
scene-file-relocate	Scene	n/a	Scene	0	0	0
set-map-names	File	n/a	n/a	0	0	0
set-structure	File	Structure	n/a	0	0	0
show-scene	Scene	"SceneName,ImageName,ImageWidth,ImageHeight"	n/a	0	0	0
signed-distance-to-surface	Surface	SurfaceRef	Metric	0	0	0
spec-file-merge	Spec	Spec	Spec	0	0	0
spec-file-relocate	Spec	n/a	Spec	0	0	0
surface-affine-regression	Surface	TargetSurface	Xfm	1	0	0
surface-apply-affine	Surface	Xfm	Surface	1	0	0
surface-apply-warpfield	Surface	Warp	Surface	1	0	0
surface-average	n/a	n/a	Surface	0	1	0
surface-closest-vertex	Surface	n/a	Metric	0	0	0
surface-coordinates-to-metric	Surface	CoordListFile	Text	0	0	0
surface-cortex-layer	Surface	"PialSurface,Location"	Surface	0	0	0
surface-create-sphere	n/a	NumVertices	Surface	1	0	0
surface-curvature	Surface	n/a	n/a	0	0	1
surface-cut-resample	Surface	"CurrentSphere,NewSphere"	Surface	1	0	0
surface-distortion	Surface	SurfaceDistorted	Metric	0	0	0
surface-flip-lr	Surface	n/a	Surface	1	0	0
surface-flip-normals	Surface	n/a	Surface	1	0	0
surface-generate-inflated	Surface	InflatedSurface	Surface	0	0	1
surface-geodesic-distance	Surface	Vertex	Metric	0	0	0
surface-geodesic-distance-all-to-all	Surface	n/a	Cifti	0	0	0
surface-geodesic-rois	Surface	"Limit,VertexListFile"	Metric	0	0	0
surface-inflation	Surface	"Surface,NSmoothCycles,SmoothStrength,SmoothIters,InflationFactor"	Surface	0	0	0
surface-information	Surface	n/a	Disp	0	0	0
surface-match	Surface	Surface	Surface	1	0	0
surface-modify-sphere	Surface	Radius	Surface	1	0	0
surface-normals	Surface	n/a	Metric	0	0	0
surface-resample	Surface	"CurrentSphere,NewSphere,Method"	Surface	1	0	0
surface-set-coordinates	Surface	CoordMetric	Surface	1	0	0
surface-smoothing	Surface	"SmoothStrength,SmoothIters"	Surface	1	0	0
surface-sphere-project-unproject	Surface	"SphereProjTo,SpehreUnprojFrom"	Surface	1	0	0
surface-to-surface-3d-distance	Surface	SurfaceReef	Metric	0	0	0
surface-vertex-areas	Surface	n/a	Metric	0	0	0
surface-wedge-volume	Surface	OuterSurface	Metric	0	0	0
volume-affine-resample	Volume	"Affine,VolumeSpace,Method"	Volume	1	0	0
volume-all-labels-to-rois	Label	Map	Volume	0	0	0
volume-capture-plane	Volume	Many	Image	0	0	0
volume-copy-extensions	Volume	ExtensionVolume	Volume	0	0	0
volume-create	n/a	"iDim,jDim,kDim"	Volume	1	0	0
volume-dilate	Volume	"Distance,Method"	Volume	0	0	0
volume-distortion	Volume	n/a	Volume	0	0	0
volume-erode	Volume	Distance	Volume	0	0	0
volume-estimate-fwhm	Volume	n/a	Disp	0	0	0
volume-extrema	Volume	Distance	Volume	0	0	0
volume-fill-holes	Volume	n/a	Volume	0	0	0
volume-find-clusters	Volume	"ValueThresh,MinVolume"	Volume	0	0	0
volume-gradient	Volume	n/a	Volume	0	0	0
volume-label-export-table	Label	Map	Text	0	0	0
volume-label-import	Volume	LabelListFile	Label	0	0	0
volume-label-modify-keys	Volume	RemapFile	Volume	0	0	0
volume-label-probability	Label	n/a	Volume	0	0	0
volume-label-to-roi	Label	n/a	Volume	0	0	0
volume-label-to-surface-mapping	Volume	Surface	Label	1	0	0
volume-math	n/a	Expression	Volume	0	1	0
volume-merge	n/a	n/a	Volume	0	1	0
volume-palette	Volume	Mode	n/a	0	0	0
volume-parcel-resampling	Volume	"CurParcels,NewParcels,Kernel"	Volume	1	0	0
volume-parcel-resampling-generic	Volume	"CurParcels,NewParcels,Kernel"	Volume	1	0	0
volume-parcel-smoothing	Volume	"LabelVolume,Kernel"	Volume	0	0	0
volume-reduce	Volume	Operation	Volume	0	0	0
volume-remove-islands	Volume	n/a	Volume	0	0	0
volume-reorient	Volume	OrientString	Volume	1	0	0
volume-resample	Volumee	"VolumeSpace,Method"	Volume	1	0	0
volume-rois-from-extrema	Volume	Limit	Volume	0	0	0
volume-set-space	Volume	n/a	Volume	1	0	0
volume-smoothing	Volume	Kernel	Volume	0	0	0
volume-stats	Volume	n/a	Disp	0	0	0
volume-tfce	Volume	n/a	Volume	0	0	0
volume-to-surface-mapping	Volume	Surface	Metric	1	0	0
volume-vector-operation	Volume	"VolumeB,Operation"	Volume	0	1	0
volume-warpfield-affine-regression	Xfm	n/a	Xfm	1	0	0
volume-warpfield-resample	Volume	"Xfm,VolumeSpace,Method"	Volume	1	0	0
volume-weighted-stats	Volume	n/a	Disp	0	0	0
wbsparse-merge-dense	n/a	Direction	Wbsparse	0	1	0
zip-scene-file	Scene	ExtractFolder	Zip	0	0	0
zip-spec-file	Spec	ExtractFolder	Zip	0	0	0